Otis 870,51 1
Oliver 192,71 2
Hodges 1361,71 3
Haig 1472,26 4
Abramson 877,69 5
Mackenzie 354,53 6
Turner 988,68 7
Lewin 321,17 8
Erickson 543,74 9
Carter 646,12 10
Oliver 152,65 11
Haig 992,93 12
Haig 220,19 13
Attwood 1021,53 14
Harrison 868,63 15
Lewin 1314,67 16
Russel 1329,71 17
Abramson 1125,19 18
Hodges 714,85 19
Attwood 1413,5 20
Haig 1095,37 21
Youmans 667,43 22
Harrison 1119,15 23
Russel 662,54 24
Carter 591,35 25
Carter 313,2 26
Otis 264,21 27
Carter 1337,71 28
Carter 1393,19 29
Harrison 426,55 30
Harrison 1039,92 31
Carter 639,83 32
Attwood 977,07 33
Faber 1252,61 34
Ramacey 1113,1 35
Harrison 1200,07 36
Faber 389,66 37
Attwood 1244,17 38
Erickson 1392,53 39
Youmans 902,08 40
Erickson 996,52 41
Lewin 626,81 42
Haig 424,92 43
Russel 1131,84 44
Turner 196,58 45
Mackenzie 726,54 46
Turner 1198,54 47
Becker 974,61 48
Oliver 645,76 49
Haig 244,61 50
Hodges 88,69 51
Harrison 702,38 52
Oliver 612,29 53
Russel 1038,99 54
Attwood 534,41 55
Ramacey 418,02 56
Attwood 269,4 57
Abramson 206,14 58
Erickson 1127,3 59
Attwood 1214,65 60
Wayne 826,65 61
Becker 757,82 62
Carter 474,91 63
Attwood 720,11 64
Becker 656,98 65
Erickson 1221,31 66
Oliver 1026,65 67
Becker 290,19 68
Youmans 3,68 69
Harrison 1443,98 70
Haig 347,02 71
Ramacey 516,71 72
Lewin 396,62 73
Hodges 773,98 74
Wayne 4,7 75
Hodges 1213,97 76
Haig 813,21 77
Hodges 1334,01 78
Russel 450,33 79
Erickson 415 80
Faber 674,44 81
Oliver 975,64 82
Attwood 1249,33 83
Turner 595,28 84
Abramson 1257,48 85
Faber 330,19 86
Russel 139,58 87
Lewin 744,04 88
Youmans 1184,78 89
Abramson 1401,85 90
Russel 882,71 91
Turner 174,12 92
Abramson 688,95 93
Hodges 51,45 94
Erickson 407,41 95
Erickson 838,04 96
Wayne 821,89 97
Ramacey 1355,92 98
Ramacey 23,58 99
Erickson 976,61 100
Oliver 9,32 101
Lewin 1393,4 102
Wayne 310,56 103
Youmans 422,62 104
Attwood 1409,51 105
Abramson 202,42 106
Faber 502,06 107
Haig 1072,88 108
Wayne 686,05 109
Ramacey 942,56 110
Hodges 1001,91 111
Becker 1120,57 112
Oliver 1079,72 113
Lewin 568,51 114
Hodges 828,36 115
Youmans 1303,86 116
Mackenzie 555,26 117
Haig 1360,98 118
Attwood 1175,83 119
Hodges 1205,67 120
Oliver 236,49 121
Otis 463,59 122
Erickson 200,57 123
Faber 597,71 124
Carter 1415,5 125
Carter 300,8 126
Haig 942,65 127
Erickson 1341,35 128
Youmans 1125,44 129
Haig 7,21 130
Turner 755,06 131
Youmans 800,57 132
Attwood 202,72 133
Oliver 1363,19 134
Otis 683,72 135
Ramacey 1429,38 136
Attwood 1253,74 137
Abramson 353,72 138
Turner 1258,58 139
Lewin 653,91 140
Hodges 132,71 141
Carter 735,7 142
Haig 956,39 143
Lewin 1356,92 144
